Brand_ID,Brand_Name,Classification,Price,quality,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides
R-1111,Blue Carriage Vintners,Red,14.99,5,5.94,0.3296,0.3895,6.984,0.04752,56.1,172.66,1.0849533,3.488,0.4186,9.494,0.049166625
R-1112,Thirsty Writer Vintners,Red,8.99,4,6.75,0.3502,0.228,3.7345,0.03069,5.1,32.98,1.0801682,3.2809,0.3276,11.918,0.054807079
R-1113,Abnormally Normal Wine,Red,14.99,6,6.75,0.7313,0,1.552,0.09108,22.44,30.07,1.0860215,3.6842,0.5278,10.1,0.035328426
R-1114,Singlewave Vines,Red,14.99,5,6.21,0.412,0.228,2.425,0.08217,30.6,43.65,1.085531,3.5534,0.5278,10.1,0.053603887
R-1115,Another Vineyards,Red,17.99,6,7.56,0.5974,0.2565,11.7855,0.03267,37.74,112.52,1.085531,3.2591,0.3549,10.908,0.026440719
R-1116,Underdog,Red,14.99,6,6.3,0.2369,0.3135,0.97,0.04257,46.92,106.7,1.0803862,3.3136,0.5915,10.908,0.029083218
R-1117,Bright Ring Vintners,Red,16.99,6,10.71,0.5974,0.551,1.843,0.07029,5.1,17.46,1.08782,3.3681,0.5733,10.1,0.033975679
R-1118,Busy Month Wine,Red,18.99,6,5.94,0.3296,0.209,16.199,0.04554,38.76,129.01,1.087711,3.5098,0.6097,10.504,0.03482732
R-1119,Roinad Vintners,Red,17.99,6,6.12,0.2266,0.3325,16.975,0.03861,38.76,148.41,1.089346,3.5316,0.3822,9.09,0.02816
R-1120,La Cabra,Red,9.99,5,6.12,0.2987,0.475,12.901,0.05247,48.96,188.18,1.087166,3.3681,0.4095,9.494,0.043133026
R-1121,Crazy Tomatoes,Red,9.99,5,5.94,0.5768,0.209,8.633,0.03366,27.54,129.01,1.0864575,3.488,0.4641,9.191,0.050008866
R-1122,La Escoba,Red,9.99,5,7.2,0.2472,0.456,6.596,0.04653,13.26,129.98,1.0858144,3.5207,0.637,10.1,0.043476715
R-1123,Nightfall Vineyards,Red,19.99,6,7.11,0.3502,0.399,1.94,0.08514,8.16,18.43,1.0850514,3.6515,0.546,11.514,0.034951593
R-1124,Loodon,Red,8.99,5,5.31,0.3811,0.133,6.111,0.03564,34.68,179.45,1.083896,3.4553,0.5733,9.898,0.038720261
R-1125,Real Nerve,Red,14.99,5,6.48,0.2472,0.323,1.067,0.04455,3.06,62.08,1.080517,3.5207,0.4641,11.514,0.046380429
R-1126,La Araña,Red,18.99,6,5.67,0.2987,0.2185,13.774,0.03663,24.48,96.03,1.0848552,3.3572,0.3458,10.706,0.026688406
R-1127,Equable Fork,Red,14.99,6,6.3,0.3605,0.1615,1.067,0.04851,7.14,115.43,1.0823373,3.4117,0.3276,9.797,0.033856571
R-1128,El Rábano,Red,12.99,5,5.67,0.4017,0.209,2.716,0.04752,54.06,167.81,1.0824136,3.5316,0.4095,9.898,0.046380429
R-1129,Instinctive Vines,Red,25.99,7,5.04,0.6798,0,2.134,0.08613,3.06,10.67,1.0832202,4.0439,0.5733,12.928,0.021397074
R-1130,Nonchalant Air,Red,12.99,5,6.03,0.6592,0.2185,2.037,0.0792,11.22,115.43,1.0849642,3.6624,0.637,11.009,0.036496229
R-1131,Supernatural Vineyards,Red,18.99,6,6.39,0.4017,0.7505,1.358,0.19206,23.46,87.3,1.0814108,3.4553,0.4186,10.605,0.033738088
R-1132,Decisive Note Wines,Red,8.99,5,6.66,0.6901,0.114,1.552,0.18414,5.1,20.37,1.08564,3.6951,0.4914,9.595,0.048548831
R-1133,Hypnotic Suggestion Winery,Red,13.99,5,6.03,0.2678,0.4655,7.857,0.05148,48.96,191.09,1.0851822,3.4771,0.4368,9.595,0.042793398
R-1134,Literate,Red,21.99,7,5.85,0.2884,0.323,3.492,0.0396,29.58,117.37,1.0803099,3.5752,0.4368,12.221,0.025329223
R-1135,Plausible Explanation Vines,Red,23.99,7,5.22,0.3296,0.361,4.6075,0.03267,23.46,91.18,1.08019,3.7278,0.3822,11.918,0.023442911
R-1136,Majestically Dapper Vintners,Red,14.99,5,6.84,0.3914,0.19,3.298,0.04554,9.18,112.52,1.083896,3.4335,0.3731,9.494,0.041313623
R-1137,Blissfully Brash Wines,Red,14.99,6,8.37,0.3914,0.456,3.686,0.13068,3.06,10.67,1.0853893,3.5207,0.5187,13.332,0.029953491
R-1138,Clean Slate Winery,Red,15.99,6,5.58,0.5871,0.095,2.037,0.04752,4.08,10.67,1.0839832,3.7496,0.6916,10.908,0.030252277
R-1139,Cooing Roo Wine,Red,17.99,6,12.78,0.2781,0.4655,1.067,0.03663,33.66,151.32,1.08128,3.4335,0.4914,11.211,0.031707507
R-1140,Passkey,Red,12.99,5,5.85,0.4017,0.3325,1.552,0.04851,10.2,159.08,1.0847244,3.6515,0.4641,9.797,0.038003897
R-1141,Utter Vines,Red,14.99,6,8.28,0.4429,0.494,2.231,0.08217,14.28,22.31,1.087384,3.6515,0.5551,11.413,0.026115797
R-1142,Chaintwist Wines,Red,11.99,5,6.3,0.2369,0.266,2.619,0.05247,16.32,89.24,1.0831548,3.4662,0.5096,9.393,0.051092449
R-1143,Upstart Wines,Red,12.99,5,7.02,0.2575,0.323,13.289,0.04356,67.32,178.48,1.0897384,3.5098,0.6825,8.989,0.040061768
R-1144,Luxuriant,Red,34.99,8,7.02,0.5871,0.0855,2.231,0.06435,34.68,43.65,1.0836453,3.7714,0.6734,12.827,0.015664072
R-1145,Righteous Flowers,Red,13.99,5,8.01,0.6077,0.3705,2.231,0.09405,5.1,21.34,1.088474,3.6733,0.5278,10.403,0.04147422
R-1146,Quack Magic Vintners,Red,13.99,5,6.3,0.5047,0.4655,5.432,0.0594,26.52,117.37,1.087166,3.6406,0.6916,10.605,0.04619054
R-1147,El Formón,Red,10.99,5,7.29,0.3399,0.418,1.455,0.04158,6.12,11.64,1.0850078,3.6515,0.5551,10.807,0.036763601
R-1148,Keystone,Red,8.99,5,6.12,0.6798,0.0665,1.552,0.0693,16.32,59.17,1.0853348,3.5861,0.546,9.393,0.039606955
R-1149,Resaix Vineyards,Red,13.99,5,7.38,0.3193,0.4085,6.79,0.04653,18.36,84.39,1.0859452,3.5207,0.5824,10.706,0.046763737
R-1150,Goodnight Wines,Red,10.99,5,6.84,0.1854,0.4655,17.5085,0.04554,36.72,153.26,1.089564,3.3354,0.3731,9.292,0.044893378
R-1151,Dramatic Increase,Red,23.99,7,5.67,0.2266,0.4085,4.4135,0.03762,31.62,126.1,1.081062,3.6515,0.3003,11.615,0.020306593
R-1152,Knowledgeable Sky,Red,18.99,6,6.84,0.515,0.2755,2.231,0.08514,5.1,13.58,1.0845718,3.6188,0.5642,11.615,0.031707507
R-1153,Trealop,Red,8.99,4,6.12,0.3296,0.323,1.164,0.04356,14.28,64.99,1.081171,3.3245,0.4277,10.706,0.061476899
R-1154,La Almohada,Red,18.99,6,7.38,0.2266,0.4655,9.312,0.03663,54.06,149.38,1.084659,3.2918,0.3003,10.706,0.027980637
R-1155,El Despertador,Red,18.99,7,5.58,0.206,0.3135,5.238,0.02772,21.42,72.75,1.0792308,3.6624,0.3731,13.635,0.023511508
R-1156,Superpower,Red,10.99,4,6.75,0.3914,0.456,2.522,0.07227,22.44,81.48,1.086948,3.6188,0.637,9.696,0.083941272
R-1157,Accidental,Red,8.99,5,6.3,0.75705,0.0475,1.94,0.08019,13.26,52.38,1.086294,3.6951,0.5187,9.898,0.048345485
R-1158,Obsolete Caption Vineyards,Red,17.99,6,4.5,0.3399,0.171,4.462,0.03168,40.8,120.28,1.0803426,3.4662,0.364,11.11,0.028250329
R-1159,Unequal Parts Vineyards,Red,14.99,5,6.66,0.1854,0.38,1.552,0.04653,22.44,98.94,1.083133,3.5752,0.4004,10.807,0.043304359
R-1160,Allspice,Red,14.99,5,7.29,0.2266,0.266,7.469,0.04257,58.14,170.72,1.084986,3.4008,0.5005,10.1,0.041635756
R-1161,El Armario,Red,6.99,3,6.84,1.6274,0,2.037,0.13563,5.1,8.73,1.0842884,3.815,0.364,11.009,0.102871999
R-1162,La Papelería,Red,18.99,6,5.85,0.1751,0.2945,1.455,0.04059,34.68,117.37,1.0801028,3.3354,0.4186,10.605,0.032252768
R-1163,Anyplace Winery,Red,13.99,5,6.03,0.69525,0.0665,2.328,0.08811,17.34,79.54,1.085422,3.6515,0.4914,10.201,0.043824527
R-1164,Ahoy-Wut Winery,Red,16.99,6,6.75,0.6489,0.2565,1.94,0.08217,17.34,88.27,1.0858144,3.5534,0.5278,9.898,0.026358923
R-1165,Alerrawia,Red,13.99,5,5.76,0.2472,0.247,7.954,0.05346,47.94,176.54,1.0849642,3.4008,0.455,9.595,0.03945707
R-1166,Glomtom Winery,Red,14.99,5,6.12,0.7931,0,1.746,0.06534,34.68,50.44,1.087384,3.9458,0.6188,9.999,0.038003897
R-1167,Jukebox,Red,13.99,6,4.5,0.3193,0,6.208,0.04554,43.86,161.02,1.08346,3.597,0.5733,9.999,0.027280055
R-1168,Cheerful Song Wine,Red,25.99,7,4.59,0.4326,0.0095,1.455,0.01683,25.5,98.94,1.078446,3.6842,0.3276,12.423,0.022321247
R-1169,Novanoid Wines,Red,19.99,6,7.74,0.32445,0.38,2.134,0.07821,3.06,5.82,1.0846808,3.5643,0.6097,12.019,0.032142596
R-1170,Rosy Robin Vintners,Red,21.99,7,8.55,0.5768,0.3135,2.328,0.08811,35.7,64.99,1.086948,3.5752,0.6643,11.918,0.025561422
R-1171,Spooky Humor Vineyards,Red,13.99,6,6.03,0.3399,0.4655,1.552,0.16533,20.4,91.18,1.080626,3.3899,0.455,11.514,0.026358923
R-1172,Humbly Snobbish Vintners,Red,15.99,6,5.4,0.2781,0.38,1.649,0.02079,18.36,79.54,1.078119,3.5316,0.8645,13.26466666,0.031707507
R-1173,Jovaphile Vines,Red,19.99,6,6.39,0.2987,0.266,9.021,0.04752,51,136.77,1.084441,3.4117,0.4459,10.403,0.03610061
R-1174,Glorious Grape,Red,12.99,5,8.1,0.5665,0.285,7.857,0.02574,14.28,68.87,1.08237,3.2046,0.3276,11.918,0.040061768
R-1175,Supercharge,Red,24.99,7,5.58,0.2884,0.209,7.081,0.04059,26.52,152.29,1.085313,3.7496,0.5824,9.898,0.020087656
R-1176,Classy Cask Wine,Red,20.99,7,10.44,0.4223,0.513,1.455,0.09405,22.44,39.77,1.0871115,3.2918,0.6916,9.999,0.022971032
R-1177,Uptight Vines,Red,14.99,5,6.57,0.5974,0.285,2.328,0.07326,15.3,53.35,1.086512,3.7714,0.5369,10.302,0.036629549
R-1178,Gigantic Gyroscope,Red,14.99,5,5.94,0.71585,0,2.037,0.07425,12.24,54.32,1.086512,3.8041,0.6097,9.292,0.047544746
R-1179,Faded Bubble,Red,24.99,7,6.66,0.2884,0.342,1.067,0.02772,42.84,101.85,1.078337,3.2591,0.3549,12.524,0.021043409
R-1180,Normal Stop Vintners,Red,17.99,6,7.02,0.5356,0.2375,1.843,0.08019,14.28,36.86,1.088256,3.7387,0.5915,9.09,0.033386346
R-1181,Questionable Intent Vineyards,Red,21.99,7,6.39,0.1236,0.285,3.007,0.01782,15.3,35.89,1.0791436,3.2918,0.4732,12.019,0.025176176
R-1182,Whitecap,Red,15.99,6,5.04,0.18025,0.2755,0.776,0.04257,20.4,64.99,1.0803208,3.5752,0.4368,9.999,0.033856571
R-1183,Probably Gorgeous,Red,9.99,5,8.82,0.9064,0.2375,2.425,0.10296,35.7,150.35,1.09109,3.7169,0.6097,11.312,0.042962709
R-1184,Bumola Wines,Red,15.99,6,5.49,0.3193,0.323,2.716,0.04158,60.69,157.14,1.0810511,3.5643,0.4277,10.908,0.027714789
R-1185,Habitual Snitch Wines,Red,16.99,6,4.86,0.7622,0.0855,1.649,0.08811,16.32,25.22,1.0834818,4.0003,0.5096,11.716,0.02816
R-1186,Elegant Rhythm Vintners,Red,20.99,7,5.58,0.309,0.2945,1.552,0.03465,40.8,102.82,1.0781626,3.5534,0.3549,13.029,0.024874215
R-1187,Fat Sound,Red,15.99,6,6.48,0.3193,0.3895,8.342,0.05247,15.3,86.33,1.087384,3.5861,0.5824,9.999,0.035076531
R-1188,Xanpon Vintners,Red,14.99,6,5.67,0.2472,0.703,1.358,0.17028,24.48,104.76,1.082588,3.5643,0.3549,9.999,0.026855469
R-1189,Pulappli Vines,Red,26.99,7,5.04,0.2163,0.228,4.268,0.02673,37.74,145.5,1.08019,3.597,0.2821,11.615,0.022006646
R-1190,Psychotic Ghost Vintners,Red,6.99,4,6.84,0.3193,0.4655,12.998,0.06138,51,185.27,1.088801,3.5098,0.4823,9.09,0.078641082
R-1191,Suspiciously Scarce,Red,10.99,5,13.95,0.66435,0.4655,4.074,0.09405,10.2,22.31,1.0934335,3.1828,0.6734,11.211,0.043824527
R-1192,Swanky Cactus Vintners,Red,13.99,5,6.21,0.5356,0.2375,2.522,0.08019,10.2,35.89,1.0865665,3.7714,0.455,11.11,0.040995215
R-1193,La Hermana,Red,10.99,5,5.04,0.2987,0.0475,0.776,0.03762,11.22,29.1,1.081716,3.6624,0.3185,9.292,0.047151816
R-1194,Cuddly Scarecrow Vintners,Red,12.99,5,5.4,0.2678,0.1425,1.261,0.0594,52.02,149.38,1.0829586,3.4226,0.4641,8.787,0.053603887
R-1195,Stronghold,Red,22.99,7,6.66,0.1648,0.3135,1.164,0.04158,47.94,117.37,1.0812582,3.3136,0.6188,10.605,0.023788928
R-1196,Silversmith Wine,Red,13.99,6,7.11,0.2266,0.4275,13.774,0.03762,54.06,136.77,1.089128,3.3027,0.4186,9.292,0.031815447
R-1197,Merciful Judge,Red,22.99,7,5.31,0.3296,0.266,4.559,0.03861,34.68,91.18,1.0787076,3.5098,0.5187,13.231,0.020585335
R-1198,Boardwalk Vintners,Red,11.99,5,8.46,0.63345,0.266,3.104,0.08613,18.36,69.84,1.090109,3.6079,0.4823,9.797,0.038720261
R-1199,Blueberry Wine,Red,18.99,7,6.12,0.2163,0.247,11.349,0.03762,62.22,147.44,1.0848007,3.2918,0.5096,10.605,0.021456884
R-1200,Los Zapatos,Red,23.99,7,6.39,0.6077,0,2.037,0.09009,9.18,13.58,1.0844192,3.7278,0.5005,11.615,0.021759729
R-1201,Glozzom,Red,17.99,6,5.4,0.3502,0.627,15.423,0.04554,26.52,159.08,1.087711,3.4226,0.455,8.888,0.02736618
R-1202,Ethereal Teaching,Red,19.99,6,7.2,0.2575,0.2565,9.409,0.03564,15.3,82.45,1.0835254,3.2591,0.3276,11.312,0.028523938
R-1203,Roomy Cabin Vintners,Red,14.99,5,7.56,0.3193,0.2945,0.9215,0.02079,53.04,143.56,1.0795142,3.1937,0.2912,11.615,0.036363636
R-1204,Siopp,Red,15.99,6,7.29,0.2678,0.3515,1.843,0.07128,48.96,154.23,1.084441,3.6733,0.637,11.009,0.027194335
R-1205,Unpossible Winery,Red,8.99,5,8.1,0.8446,0.0475,2.328,0.08019,26.52,93.12,1.0879726,3.6624,0.4823,10.1,0.052669632
R-1206,Cluttered Ducks Vines,Red,19.99,6,7.2,0.1854,0.3515,0.873,0.04851,36.72,105.73,1.0791763,3.1501,0.4004,12.827,0.033270322
R-1207,Yellow Eyes,Red,24.99,7,7.11,0.309,0.646,8.051,0.0495,38.25,269.66,1.0825444,3.2809,0.4641,12.423,0.023649607
R-1208,Acirassi Wines,Red,10.99,4,5.76,0.3502,0.19,14.453,0.0594,37.74,157.14,1.088147,3.4117,0.4095,9.09,0.058131854
R-1209,Graceful Motion Vines,Red,17.99,6,6.39,0.206,0.3325,3.104,0.03366,21.42,103.79,1.0812255,3.3899,0.4914,11.211,0.032474817
R-1210,Butterfingers Vines,Red,15.99,6,6.93,0.5871,0.1995,1.455,0.06831,4.08,8.73,1.0840922,3.4444,0.4914,9.898,0.035328426
R-1211,La Escalera,Red,19.99,6,5.85,0.1957,0.285,0.776,0.04257,33.66,139.68,1.083024,3.7278,0.3549,9.191,0.033386346
R-1212,Holistic Earth,Red,17.99,6,6.39,0.4532,0.589,11.446,0.04356,53.04,147.44,1.087275,3.4008,0.4186,8.787,0.026771742
R-1213,Defas Vines,Red,12.99,5,5.67,0.206,0.3515,11.446,0.04455,59.16,126.1,1.0847571,3.488,0.3185,10.908,0.043133026
R-1214,Rainwater,Red,17.99,6,7.65,0.1957,0.456,1.067,0.02574,23.46,56.26,1.0811056,3.161,0.455,10.605,0.028894977
R-1215,Weary Traveller,Red,7.99,4,7.92,0.98365,0.0475,1.746,0.07425,5.1,18.43,1.0858144,3.597,0.4004,9.696,0.08877841
R-1216,Headline Wines,Red,14.99,6,6.84,0.45835,0.418,14.065,0.04455,69.36,205.64,1.088474,3.7932,0.3276,10.1,0.034580755
R-1217,Adventurously Aloof Wines,Red,37.99,8,4.95,0.3502,0.247,2.134,0.02079,31.62,115.43,1.0782171,3.8695,0.4459,13.13,0.015967485
R-1218,Sertave,Red,11.99,5,5.85,0.2678,0.4085,8.633,0.08217,51,165.87,1.086185,3.1065,0.455,9.09,0.040061768
R-1219,Ybuwyn Wines,Red,14.99,6,7.02,0.309,0.703,1.746,0.03267,33.66,151.32,1.08019,3.5861,0.4732,12.928,0.028801542
R-1220,Three Brothers Vintners,Red,12.99,5,6.66,0.3193,0.247,8.342,0.04752,47.94,199.82,1.086076,3.5534,0.3276,9.191,0.051984877
R-1221,Chief Concern Wine,Red,11.99,5,10.44,0.4326,0.5035,3.201,0.10395,33.66,95.06,1.09109,3.488,0.8645,9.292,0.040061768
R-1222,Bocilile Wines,Red,15.99,6,6.12,0.8343,0.0475,1.94,0.0693,6.12,13.58,1.0852258,3.8259,0.6006,10.908,0.030152186
R-1223,Colorfully Pale,Red,9.99,5,7.02,0.309,0.3515,1.261,0.05049,16.32,93.12,1.083569,3.6188,0.5642,10.1,0.040215115
R-1224,Forecastle Vintners,Red,15.99,6,5.85,0.2987,0.494,1.649,0.03366,41.82,187.21,1.0815307,3.5425,0.5369,10.504,0.03610061
R-1225,La Familia,Red,17.99,6,6.66,0.2472,0.209,10.379,0.04158,26.52,78.57,1.084986,3.1174,0.3276,9.797,0.033502981
R-1226,Valiantly Humdrum,Red,19.99,6,5.4,0.4017,0.1615,11.64,0.04554,66.3,238.62,1.087384,3.4335,0.3458,9.09,0.034458454
R-1227,Heartbreaking Rose,Red,16.99,6,6.3,0.2575,0.532,1.94,0.03465,20.4,92.15,1.081062,3.5207,0.4823,11.11,0.026035503
R-1228,Pastoral Hill Vineyards,Red,8.99,5,6.21,0.2987,0.38,18.8665,0.04257,36.72,151.32,1.089564,3.1937,0.4277,8.989,0.049796288
R-1229,Crowded Hut,Red,17.99,6,7.56,0.4017,0.095,1.649,0.07425,6.12,24.25,1.0854329,3.3681,0.3913,9.797,0.027280055
R-1230,Jiofrax,Red,24.99,7,5.22,0.6283,0.0095,8.148,0.04059,31.62,100.88,1.080081,3.5534,0.6552,14.1905,0.021337513
R-1231,Commonplace Winery,Red,14.99,5,6.03,0.721,0.076,3.6375,0.06633,8.16,15.52,1.0827406,3.7387,0.4732,12.726,0.038288038
R-1232,Wayward Vineyards,Red,18.99,6,10.44,0.2369,0.5415,1.746,0.07326,3.06,7.76,1.087929,3.4226,0.637,9.999,0.035583044
R-1233,Cloudy Bay Vintners,Red,17.99,6,6.57,0.2266,0.475,13.289,0.04851,57.12,183.33,1.089346,3.5316,0.6006,9.09,0.034215789
R-1234,Backspace Winery,Red,15.99,6,5.58,0.2575,0.3705,1.261,0.05049,42.84,130.95,1.079754,3.5207,0.364,11.211,0.030967074
R-1235,Sneaky Star Wine,Red,25.99,7,7.02,0.2163,0.4655,1.164,0.03564,20.4,96.03,1.0791,3.3245,0.2548,12.221,0.021043409
R-1236,Sunray,Red,19.99,6,6.03,0.2369,0.3705,2.425,0.17028,64.26,153.26,1.083133,3.3899,0.3276,9.494,0.031175957
R-1237,Hoppler Winery,Red,18.99,6,6.12,0.2884,0.342,1.552,0.0396,25.5,84.39,1.081716,3.5207,0.6006,10.403,0.034215789
R-1238,Whole Trail Wines,Red,13.99,5,7.38,0.2369,0.3515,1.261,0.04158,39.78,113.49,1.082152,3.2591,0.3276,10.1,0.048548831
R-1239,Pruvia Winery,Red,7.99,4,8.91,1.03515,0.437,1.358,0.04554,34.68,179.45,1.086294,3.2918,0.4459,10.302,0.058131854
R-1240,Anytime Vines,Red,16.99,6,6.12,0.2678,0.2755,11.543,0.05148,55.08,155.2,1.0850514,3.3027,0.5278,10.504,0.029561946
R-1241,Boxium Vines,Red,19.99,6,7.38,0.2472,0.4655,9.021,0.03762,53.04,158.11,1.084768,3.2918,0.3003,10.706,0.030453958
R-1242,Electric Team Winery,Red,8.99,5,5.85,0.2678,0.475,7.76,0.05049,46.92,191.09,1.0849424,3.4662,0.4277,9.595,0.036763601
R-1243,La Onda,Red,13.99,6,4.95,0.3193,0.2755,2.91,0.02673,16.32,98.94,1.0798303,3.5207,0.5096,11.312,0.035711387
R-1244,Free Thought Wines,Red,13.99,5,5.49,0.2781,0.4085,7.275,0.04851,66.3,235.71,1.085313,3.4008,0.4277,9.09,0.043650101
R-1245,Assorted Errors Wine,Red,8.99,5,6.93,0.86005,0,2.522,0.08019,6.12,13.58,1.087275,3.597,0.4732,9.393,0.036496229
R-1246,Miresa,Red,14.99,5,6.93,0.309,0.247,18.3815,0.05247,36.72,168.78,1.0897384,3.488,0.455,10.504,0.044712539
R-1247,Tremendously Tested,Red,17.99,6,6.03,0.1133,0.247,14.356,0.05247,44.88,92.15,1.0864684,3.488,0.3185,9.898,0.02816
R-1248,Bistup Wine,Red,11.99,5,8.37,0.2781,0.3895,1.94,0.09009,6.12,15.52,1.08782,3.5752,0.637,9.797,0.03814557
R-1249,Daffy Town Winery,Red,11.99,5,5.76,0.5871,0.019,1.746,0.06633,4.08,10.67,1.08673,3.7714,0.6188,9.595,0.038865962
R-1250,Drirathiel Vines,Red,9.99,5,8.01,0.6386,0.171,3.686,0.17424,53.04,140.65,1.088474,3.4444,0.8008,9.292,0.046001815
R-1251,Carefree Vines,Red,16.99,6,6.39,0.3193,0.361,1.164,0.03564,10.2,120.28,1.081716,3.4226,0.4004,9.999,0.028070104
R-1252,Bizarre,Red,16.99,6,5.58,0.36565,0.3325,1.94,0.04554,31.62,92.15,1.0771598,3.3354,0.4186,13.736,0.02693959
R-1253,Eight Hands,Red,9.99,5,6.12,0.2472,0.2945,17.751,0.04554,40.8,137.74,1.09,3.597,0.3731,8.787,0.047151816
R-1254,Frantic Machine Winery,Red,14.99,5,6.21,0.3914,0.361,12.707,0.11088,14.28,91.18,1.0877328,3.2918,0.4368,9.292,0.040680474
R-1255,Ever Near,Red,24.99,7,5.76,0.1545,0.418,1.164,0.04257,68.34,145.5,1.079863,3.4226,0.6643,11.312,0.025024513
R-1256,Mellow Acoustics,Red,19.99,6,5.4,0.1957,0.247,1.358,0.03861,30.6,100.88,1.0790782,3.6188,0.3731,12.524,0.026855469
R-1257,Vigorous,Red,12.99,5,5.4,0.2369,0.1425,9.409,0.04752,103.02,200.79,1.0853239,3.3245,0.273,9.191,0.046957175
R-1258,Exclusive Feeling Winery,Red,12.99,5,5.4,0.4223,0.2185,1.067,0.06534,22.44,143.56,1.0819994,3.597,0.4277,9.729666666,0.042793398
