Brand_ID,Brand_Name,Classification,Price,quality,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,free_chlorides
R-1259,Nekmit,Red,11.99,5,6.75,0.74675,0.038,1.455,0.07524,8.16,14.55,1.0846372,3.5534,0.4823,9.696,0.054320988
R-1260,Premium Payment Winery,Red,18.99,6,6.39,0.206,0.2945,7.178,0.05247,32.64,204.67,1.0854983,3.6079,0.5369,10.504,0.033040077
R-1261,El Venado,Red,8.99,5,6.12,0.8549,0.0855,1.746,0.07326,4.08,24.25,1.0849206,3.6842,0.4095,9.696,0.039757695
R-1262,Pinwheel Vintners,Red,11.99,5,6.48,0.2678,0.703,13.192,0.0495,57.12,157.14,1.08782,3.3027,0.4004,8.888,0.049796288
R-1263,Biasdo Wines,Red,20.99,7,5.58,0.26265,0.2565,1.261,0.03663,30.6,83.42,1.0772906,3.3245,0.5369,13.029,0.023719114
R-1264,Berserk Beefeater,Red,19.99,6,6.48,0.2369,0.437,6.208,0.03564,17.34,82.45,1.0821411,3.379,0.7098,11.817,0.032252768
R-1265,Descriptive Limit Vines,Red,11.99,5,7.92,0.2781,0.2375,4.85,0.02376,53.04,96.03,1.081825,3.1283,0.4459,11.514,0.048959391
R-1266,Tribop Wine,Red,14.99,6,5.58,0.206,0.2375,14.55,0.05445,8.16,116.4,1.0874603,3.4771,0.4823,9.696,0.032363507
R-1267,Grandmaster Vintners,Red,27.99,8,5.04,0.2163,0.38,1.261,0.04059,82.62,142.59,1.079209,3.5098,0.8645,11.716,0.017317135
R-1268,Aspiring Exchange,Red,11.99,5,6.12,0.3605,0.5035,9.797,0.05247,37.74,146.47,1.085967,3.3463,0.364,9.494,0.042291426
R-1269,Sorson Winery,Red,22.99,7,7.11,0.3502,0.342,1.843,0.06435,5.1,9.7,1.0836671,3.5643,0.4914,11.312,0.022904785
R-1270,La Tortuga,Red,36.99,8,4.86,0.5459,0.152,2.619,0.03564,34.68,124.16,1.0775304,3.488,0.4823,13.332,0.018314256
R-1271,Festive Tendency,Red,9.99,5,6.66,0.5665,0.1805,1.746,0.08118,15.3,32.98,1.0862395,3.8041,0.6188,10.605,0.040995215
R-1272,Daily Run Winery,Red,21.99,7,7.11,0.4223,0.3515,4.365,0.0297,40.8,110.58,1.08128,3.4553,0.4914,12.524,0.023649607
R-1273,Hysterical Cleric Wine,Red,14.99,6,8.73,0.3193,0.4465,1.552,0.06138,13.26,32.01,1.088147,3.5643,0.6006,10.1,0.035328426
R-1274,Daisywheel,Red,17.99,6,4.68,0.34505,0.19,1.649,0.03267,17.34,71.78,1.0791218,3.6406,0.4368,12.423,0.02736618
R-1275,Responsible Bucket Wine,Red,8.99,5,6.21,0.5562,0.304,12.804,0.0495,54.06,228.92,1.087057,3.488,0.455,9.696,0.047151816
R-1276,Relatively Educated Wines,Red,12.99,5,5.13,0.1442,0.285,5.238,0.04455,26.52,101.85,1.0842121,3.6188,0.4095,9.393,0.046957175
R-1277,Telltale Winery,Red,12.99,5,4.59,0.2369,0.171,0.97,0.05247,13.26,96.03,1.0786204,3.5098,0.3549,11.615,0.036763601
R-1278,La Banca,Red,14.99,5,6.3,0.2781,0.3895,18.1875,0.04158,34.68,152.29,1.090218,3.2264,0.455,9.191,0.044
R-1279,Brainy Bairn Vines,Red,18.99,6,5.22,0.412,0.399,4.268,0.04653,39.27,237.65,1.083133,3.5425,0.5187,9.696,0.034095417
R-1280,Lotadilo Vineyards,Red,24.99,7,6.21,0.3399,0.2945,4.074,0.0396,21.42,90.21,1.078664,3.4662,0.4368,13.534,0.024286368
R-1281,Untidy Coiffure Vines,Red,11.99,5,5.67,0.3399,0.19,5.626,0.0396,24.48,139.68,1.0837325,3.4335,0.5733,9.999,0.03945707
R-1282,Breezy Boquet Wine,Red,11.99,5,7.47,0.8034,0.095,2.522,0.08019,45.9,84.39,1.088147,3.7932,0.4823,10.1,0.047743056
R-1283,Sloppy Joe Wines,Red,8.99,5,6.66,0.2163,0.76,11.931,0.03762,78.54,177.51,1.0875802,3.2155,0.4368,9.09,0.041635756
R-1284,Even Keeled,Red,18.99,6,5.94,0.43775,0.2375,2.2795,0.03366,23.46,84.39,1.0799938,3.3245,0.3731,11.514,0.029561946
R-1285,Beneficial Point,Red,13.99,5,6.57,0.309,0.703,13.095,0.03861,46.92,160.05,1.088038,3.2918,0.364,8.787,0.04196167
R-1286,Fortunate Thread,Red,10.99,5,11.97,0.4429,0.551,1.843,0.0693,15.3,38.8,1.090436,3.3354,0.4459,9.09,0.046571492
R-1287,Marked Page Wine,Red,24.99,7,8.19,0.2575,0.323,1.94,0.07029,45.9,64.99,1.0874821,3.7496,0.7826,10.302,0.025329223
R-1288,Disillusioned Inventor,Red,16.99,6,6.21,0.3296,0.2565,15.52,0.03366,59.16,179.45,1.0893242,3.6406,0.546,9.09,0.027891598
R-1289,Shipstern Wines,Red,13.99,6,6.3,0.3296,0.3325,1.455,0.03861,24.48,121.25,1.081062,3.4553,0.5824,12.322,0.035970164
R-1290,Delightful Wall Wines,Red,13.99,5,8.73,0.7107,0.304,2.425,0.08712,22.44,88.27,1.087711,3.5861,0.5642,10.201,0.041635756
R-1291,Backslide Winery,Red,17.99,6,6.57,0.2678,0.2945,1.552,0.0396,39.78,167.81,1.081062,3.4771,0.4641,11.514,0.029273303
R-1292,Verdant View Winery,Red,15.99,6,10.35,0.309,0.57,1.94,0.06633,12.24,26.19,1.087929,3.3899,0.8827,10.201,0.028341093
R-1293,Useless Boot Vines,Red,14.99,5,6.12,0.3193,0.1805,3.395,0.08514,30.6,126.1,1.08237,3.0847,0.4004,9.696,0.03814557
R-1294,Flowery Bells Vintners,Red,14.99,6,6.48,0.4017,0.418,2.522,0.06534,22.44,46.56,1.0844846,3.597,0.7644,11.615,0.035711387
R-1295,Victorious Hand,Red,16.99,6,6.12,0.412,0.2755,2.716,0.04356,27.54,94.09,1.079536,3.4008,0.3822,11.312,0.030252277
R-1296,Winooze,Red,14.99,5,6.3,0.4017,0.1995,10.379,0.09702,13.26,88.27,1.0862613,3.3027,0.4277,9.393,0.036496229
R-1297,Highfalutin Vintners,Red,19.99,6,8.46,0.2678,0.5035,1.164,0.04653,25.5,105.73,1.081389,3.5207,0.2548,12.625,0.036363636
R-1298,Mizuxe Vines,Red,13.99,6,5.04,0.23175,0.228,9.506,0.05346,60.18,135.8,1.0850405,3.4553,0.3549,10.302,0.030657662
R-1299,Delicate,Red,9.99,5,6.84,0.2987,0.399,1.261,0.03465,18.36,83.42,1.079972,3.2591,0.3549,11.413,0.040215115
R-1300,Starfish,Red,20.99,7,6.93,0.3296,0.456,2.231,0.0396,28.56,110.58,1.080299,3.488,0.4732,12.928,0.020755343
R-1301,Digikiki Vineyards,Red,16.99,6,7.65,0.2163,0.3895,4.171,0.03564,24.48,96.03,1.084223,3.4662,0.4823,9.797,0.029561946
R-1302,Hawkloon Vintners,Red,16.99,6,6.12,0.1957,0.38,9.5545,0.05445,41.82,99.91,1.0848988,3.2482,0.5096,10.605,0.031071252
R-1303,Forecast Vineyards,Red,10.99,5,7.11,0.1957,0.247,2.037,0.03861,8.16,138.71,1.083678,3.3245,0.6734,9.898,0.039757695
R-1304,Sunup Winery,Red,14.99,5,7.38,0.5871,0.247,2.134,0.0594,28.56,63.05,1.085531,3.597,0.3913,10.201,0.037307232
R-1305,La Remolacha,Red,17.99,6,7.2,0.515,0.3705,2.522,0.08118,12.24,44.62,1.088365,3.7387,0.5642,10.807,0.027194335
R-1306,Illustrious Wine,Red,11.99,5,6.39,0.1236,0.304,9.312,0.05346,65.28,157.14,1.085858,3.706,0.3731,9.494,0.042793398
R-1307,Painstaking Effort Wine,Red,13.99,6,4.86,0.2987,0.361,1.164,0.02871,31.62,128.04,1.0779555,3.5752,0.3276,12.524,0.026115797
R-1308,Burder Winery,Red,14.99,6,5.13,0.618,0,1.358,0.06237,11.22,17.46,1.0811819,3.7605,0.5096,12.322,0.028894977
R-1309,El Bisonte,Red,17.99,6,5.76,0.3811,0.1805,3.395,0.06732,18.36,97.97,1.082806,3.3027,0.3458,9.09,0.030657662
R-1310,Ragged Queen,Red,10.99,5,6.39,0.2163,0.2565,8.342,0.05544,26.52,107.67,1.085204,3.2155,0.4732,9.595,0.049166625
R-1311,El Árbol,Red,13.99,6,8.82,0.2575,0.4655,2.619,0.08712,15.3,32.01,1.088038,3.7278,0.819,10.1,0.031923939
R-1312,Loud Alarm Winery,Red,16.99,6,5.13,0.2163,0.3515,4.365,0.0396,59.16,135.8,1.0827188,3.5861,0.5642,10.706,0.0343368
R-1313,Turnkey Vineyards,Red,17.99,6,7.38,0.2369,0.4655,0.873,0.05643,15.3,70.81,1.082152,3.3463,0.3458,10.504,0.035970164
R-1314,Butterscotch Wine,Red,10.99,5,5.76,0.309,0.361,7.566,0.04554,35.7,186.24,1.085095,3.379,0.3367,9.09,0.048345485
R-1315,Chevesic Wine,Red,10.99,5,5.58,0.309,0.304,1.164,0.05148,32.64,179.45,1.0819994,3.5752,0.4004,10.201,0.042457764
R-1316,Broken Wrist Wines,Red,18.99,6,5.49,0.2884,0.2185,4.074,0.03762,13.26,92.15,1.0779882,3.2373,0.637,13.231,0.031815447
R-1317,Parede Wines,Red,9.99,5,7.29,0.5768,0.266,1.649,0.36432,16.32,54.32,1.086512,3.3899,1.1648,9.393,0.050872933
R-1318,Fair Judge,Red,11.99,5,5.76,0.309,0.361,7.566,0.04554,35.7,186.24,1.085095,3.379,0.3367,9.09,0.04937518
R-1319,Warm Year Winery,Red,9.99,5,5.49,0.3708,0.551,14.55,0.04356,42.84,111.55,1.087602,3.4335,0.4641,9.09,0.039606955
R-1320,Better Butter Wine,Red,26.99,7,6.3,0.309,0.4845,13.192,0.0495,40.8,162.96,1.087384,3.3463,0.4732,9.696,0.025406269
R-1321,Rapid Impulse Wine,Red,23.99,7,6.12,0.1854,0.266,9.506,0.03861,29.58,109.61,1.0835254,3.3899,0.4095,11.009,0.025561422
R-1322,Makeshift Thing Wine,Red,14.99,6,6.39,0.2369,0.3705,13.289,0.05742,26.52,166.84,1.0873295,3.161,0.4186,9.09,0.02816
R-1323,Noxu Wine,Red,9.99,5,6.21,0.3399,0.266,1.261,0.05049,37.74,181.39,1.082043,3.5643,0.546,10.403,0.036496229
R-1324,Waratel Vines,Red,19.99,7,11.52,0.63345,0.627,5.626,0.08217,7.14,40.74,1.092398,3.3463,0.6643,10.1,0.022448979
R-1325,Forethought Vines,Red,14.99,6,5.76,0.2266,0.323,1.746,0.05643,29.58,100.88,1.085531,4.1529,0.5187,10.403,0.0343368
R-1326,Complex Authority,Red,17.99,6,5.13,0.2163,0.304,0.873,0.03762,38.76,117.37,1.0799066,3.5316,0.4186,10.706,0.032474817
R-1327,Feigned Ignorance Vineyards,Red,29.99,8,5.94,0.2369,0.285,4.462,0.0594,29.58,149.38,1.0806478,3.5207,0.4459,12.322,0.015739108
R-1328,Upstate Wine,Red,11.99,5,6.84,0.3708,0.456,13.095,0.03762,44.88,112.52,1.088038,3.3136,0.4368,9.292,0.045258364
R-1329,Ambiguous Remark Wine,Red,23.99,7,5.49,0.10815,0.2945,1.261,0.03663,56.1,140.65,1.080408,3.7169,0.3731,11.211,0.021043409
R-1330,Vivacious,Red,8.99,5,5.94,0.6283,0.0095,1.843,0.0792,8.16,24.25,1.0872314,4.0221,0.6643,10.605,0.040837389
R-1331,Takeoff Vines,Red,8.99,5,6.21,0.5356,0.2375,2.522,0.08019,10.2,35.89,1.0865665,3.7714,0.455,11.11,0.044354123
R-1332,Tedious Turtle Wine,Red,13.99,6,7.56,0.6386,0.114,1.746,0.07128,38.76,44.62,1.0845936,3.6842,0.8099,11.918,0.029659109
R-1333,Today Wine,Red,26.99,7,4.59,0.5253,0.171,2.037,0.04158,16.32,97.97,1.081716,3.7714,0.7917,13.029,0.020755343
R-1334,Knowing Representative Wine,Red,10.99,5,7.56,0.6695,0.57,2.037,0.11088,12.24,87.3,1.087057,3.488,0.4732,9.292,0.036763601
R-1335,Watermelon Winery,Red,16.99,6,5.76,0.2987,0.1995,9.3605,0.04059,36.72,115.43,1.0827406,3.2591,0.3094,11.04266666,0.026771742
R-1336,Taskmaster,Red,25.99,7,9.99,0.3193,0.5035,2.134,0.0594,3.06,9.7,1.0853348,3.2918,0.7553,11.009,0.025483668
R-1337,Bronea Vintners,Red,14.99,5,9.54,0.3708,0.57,2.134,0.15048,7.14,17.46,1.088474,3.3136,0.9646,9.494,0.046001815
R-1338,Tabletop Wine,Red,25.99,7,7.29,0.3193,0.342,7.954,0.02772,29.58,137.74,1.081825,3.2809,0.3094,13.13,0.020927467
R-1339,Tasty Jam,Red,16.99,6,6.84,0.1957,0.361,10.282,0.0594,48.96,168.78,1.085858,3.4117,0.3458,10.605,0.03610061
R-1340,Raincheck,Red,12.99,5,5.49,0.3399,0.304,7.566,0.05148,53.04,177.51,1.0862613,3.6951,0.5915,9.595,0.039308036
R-1341,Familiar Stock Vineyards,Red,23.99,7,6.3,0.2266,0.247,2.716,0.03564,44.88,128.04,1.0799502,3.6406,0.3731,12.12,0.021337513
R-1342,Bookcase Vintners,Red,17.99,6,7.92,0.4944,0.3895,3.201,0.09108,26.52,50.44,1.088038,3.6079,0.4823,10.605,0.030657662
R-1343,El Dulce,Red,18.99,6,5.4,0.4223,0.0475,1.455,0.06237,17.34,116.4,1.082588,3.4989,0.5096,9.292,0.033502981
R-1344,Overwrought Expert,Red,18.99,6,8.46,0.515,0.323,3.492,0.08118,5.1,13.58,1.088583,3.5861,0.4732,10.807,0.030352865
R-1345,Acoustic Nation Vines,Red,20.99,7,5.85,0.2472,0.342,2.134,0.02673,36.72,129.98,1.078882,3.5752,0.3276,12.625,0.024577655
R-1346,Ambitious Plot Vintners,Red,13.99,6,6.39,0.2678,0.2755,12.028,0.04356,63.24,232.8,1.086621,3.3136,0.3822,9.292,0.034580755
R-1347,Adjoining Ocean Wines,Red,13.99,5,7.83,0.8034,0.4845,1.649,0.41085,12.24,64.02,1.0858907,3.27,1.0647,9.292,0.036496229
R-1348,Wavelength Winery,Red,19.99,6,6.66,0.80855,0.1805,5.044,0.09306,19.38,95.06,1.0868717,3.4444,0.4732,9.662333334,0.028070104
R-1349,Whispering Wind Vines,Red,13.99,5,7.74,0.65405,0.646,1.746,0.39897,19.38,54.32,1.0859888,3.2918,1.0465,9.393,0.03814557
R-1350,Werradith,Red,14.99,6,5.22,0.3708,0.247,3.201,0.03762,40.8,148.41,1.080299,3.6406,0.5005,11.413,0.029659109
R-1351,Seiliu Vineyards,Red,13.99,6,5.31,0.5665,0.095,2.134,0.06138,39.78,49.47,1.0846808,3.8368,0.6916,11.312,0.031071252
R-1352,Westwest Wines,Red,8.99,5,5.76,0.5871,0.133,3.783,0.0693,27.54,70.81,1.0863921,3.6188,0.4368,9.292,0.044893378
R-1353,Vague Notion Vineyards,Red,12.99,5,6.66,0.3914,0.323,8.051,0.05148,44.88,162.96,1.0859343,3.3899,0.4732,9.292,0.043476715
R-1354,Fishtail Vineyards,Red,10.99,5,5.49,0.6077,0.0095,2.037,0.05544,5.1,12.61,1.0842448,3.8368,0.5096,11.514,0.047544746
R-1355,Probable Outcome Vineyards,Red,16.99,6,10.26,0.3708,0.6555,2.037,0.0891,6.12,20.37,1.09,3.4553,0.5642,9.292,0.031281193
R-1356,Ekcle,Red,9.99,5,7.38,0.4429,0.2755,1.552,0.08019,27.54,43.65,1.0856727,3.5425,0.4914,10.403,0.038865962
R-1357,Bluebird Vines,Red,19.99,6,5.76,0.2266,0.4655,7.275,0.05346,42.84,146.47,1.084332,3.5643,0.4732,10.201,0.027714789
R-1358,Spacewalk Winery,Red,13.99,6,7.2,0.2266,0.304,10.088,0.04257,64.26,194.97,1.08673,3.3899,0.4823,9.595,0.030760282
R-1359,Chacaka Winery,Red,13.99,5,5.76,0.206,0.266,2.425,0.03168,24.48,81.48,1.0809312,3.6079,0.5005,11.615,0.03814557
R-1360,Tupacase,Red,5.99,3,5.49,0.206,0.323,9.215,0.04059,38.76,194.97,1.08455,3.4226,0.4004,10.201,0.122222222
R-1361,Creahoof,Red,9.99,5,8.91,0.5562,0.4275,2.231,0.07029,16.32,38.8,1.089019,3.6951,0.5642,9.494,0.041635756
R-1362,Curiously Earthy,Red,8.99,5,5.85,0.3296,0.114,11.155,0.03267,35.7,160.05,1.087166,3.5098,0.2912,9.09,0.049796288
R-1363,Bootstrap Wines,Red,13.99,6,6.12,0.80855,0,2.328,0.10296,14.28,29.1,1.086294,3.8368,0.5005,10.807,0.033270322
R-1364,Vacso,Red,10.99,5,7.47,0.4223,0.4845,1.94,0.04554,11.22,200.79,1.08237,3.2918,0.5005,11.514,0.036763601
R-1365,Somewhat Elated Vintners,Red,25.99,7,6.48,0.1751,0.3515,6.693,0.05841,47.94,124.16,1.0826098,3.3572,0.4186,11.11,0.023442911
R-1366,Abounding Trade Vineyards,Red,22.99,7,7.2,0.4326,0.342,4.85,0.03663,34.68,97.97,1.08128,3.4117,0.5187,12.423,0.024949195
R-1367,Dizoolexa,Red,19.99,7,6.48,0.1957,0.437,3.686,0.04059,83.64,181.39,1.082588,3.4771,0.546,11.312,0.025639532
R-1368,Jovially Overt,Red,18.99,6,5.13,0.3296,0.475,2.522,0.04851,17.34,150.35,1.082043,3.5098,0.5824,10.1,0.026771742
R-1369,Truculent Moon,Red,13.99,5,5.76,0.3296,0.475,10.379,0.04653,58.14,199.82,1.086512,3.3572,0.546,9.494,0.038431304
R-1370,Upstage Vineyards,Red,9.99,5,9.54,0.3708,0.5605,2.134,0.15048,6.12,17.46,1.088474,3.3136,0.9555,9.494,0.044893378
W-1111,Standing Zebra Winery,White,16.99,6,5.67,0.206,0.228,1.649,0.05148,36.72,130.95,1.0831766,4.142,0.6006,10.908,0.033502981
W-1112,Possible Investment Winery,White,16.99,6,5.94,0.29355,0.4655,11.058,0.03465,58.14,132.89,1.0870788,3.3572,0.4914,8.989,0.033386346
W-1113,Disagreeable Vicar Winery,White,15.99,6,6.03,0.3296,0.304,1.649,0.03069,31.62,110.58,1.0785114,3.4008,0.3185,12.625,0.029854878
W-1114,Nalpure Wine,White,12.99,5,7.56,0.412,0.665,12.707,0.04158,29.58,191.09,1.08782,3.3354,0.5824,9.797,0.052211638
W-1115,Unoseth Wines,White,17.99,6,8.01,0.2678,0.3135,7.857,0.02376,47.94,195.94,1.0851822,3.4117,0.4186,10.908,0.033738088
W-1116,Peachflame Winery,White,16.99,6,5.67,0.5253,0.1235,2.231,0.07524,29.58,38.8,1.0853566,3.7278,0.6825,11.11,0.034215789
W-1117,Strong Snail Vintners,White,9.99,4,6.48,0.5665,0.0855,1.455,0.10692,16.32,146.47,1.083242,3.3463,0.5187,9.292,0.081669624
W-1118,Modern Noggin,White,23.99,7,4.95,0.2987,0.285,1.067,0.02178,20.4,106.7,1.0776721,3.6406,0.3458,12.928,0.019765829
W-1119,Hospitable Rock,White,17.99,6,6.39,0.1545,0.323,0.97,0.03267,27.54,70.81,1.0788166,3.5316,0.3731,12.322,0.030967074
W-1120,Sidekick,White,17.99,6,6.12,0.1957,0.38,9.5545,0.05445,41.82,99.91,1.0848988,3.2482,0.5096,10.605,0.030863418
W-1121,Spiteful Sprite,White,9.99,4,5.76,0.61285,0.133,5.044,0.05742,15.3,94.09,1.084659,3.6842,0.3276,9.09,0.083941272
W-1122,Underground,White,17.99,6,5.85,0.412,0.095,1.94,0.07524,30.6,45.59,1.0851386,3.6624,0.4368,9.494,0.029369046
W-1123,Typical Vintners,White,18.99,6,8.37,0.3708,0.3705,1.455,0.0792,41.82,53.35,1.0862068,3.7823,0.6643,11.009,0.028523938
W-1124,Panoramic View Wines,White,16.99,6,9.45,0.4429,0.3325,3.201,0.09108,24.48,67.9,1.0877982,3.4989,0.6279,10.605,0.030967074
W-1125,Yammoe,White,33.99,8,8.19,0.412,0.475,1.746,0.07029,7.14,15.52,1.0841358,3.4989,0.6279,12.625,0.018649631
W-1126,Viottis,White,9.99,5,7.11,0.3605,0.1995,1.843,0.07227,46.92,98.94,1.086076,3.5643,0.5278,9.595,0.046571492
W-1127,Headlight,White,8.99,4,7.38,0.94245,0.2565,2.037,0.08712,7.14,22.31,1.085858,3.5534,0.4277,10.1,0.06875
W-1128,Dohi Vineyards,White,13.99,6,5.49,0.1854,0.342,1.94,0.03762,20.4,242.015,1.081607,3.6733,0.7189,11.413,0.031493267
W-1129,Blackboard,White,13.99,6,5.58,0.2472,0.2565,2.813,0.03861,30.6,119.31,1.0786531,3.4008,0.3367,12.928,0.027627015
W-1130,Foxclore,White,16.99,6,5.22,0.1854,0.266,1.261,0.03366,9.18,91.18,1.0801028,3.4989,0.4732,11.312,0.029561946
W-1131,Incandescent Chess Wines,White,26.99,7,5.85,0.1854,0.2945,1.649,0.04356,30.6,123.19,1.082152,3.8041,0.455,10.302,0.024358701
W-1132,Unusual Cabbage Wines,White,13.99,6,6.12,0.2678,0.456,6.014,0.04851,56.1,176.54,1.0854438,3.4989,0.4095,9.494,0.034458454
W-1133,Fine Grain,White,15.99,6,5.76,0.2678,0.2375,10.379,0.04554,67.32,173.63,1.0857054,3.4553,0.5005,9.999,0.034215789
W-1134,Detailed Decision Wine,White,14.99,5,7.11,0.618,0.057,1.552,0.06831,15.3,57.23,1.086076,3.597,0.4186,9.494,0.041313623
W-1135,Plucky Parrot Wine,White,15.99,6,6.75,0.3296,0.4655,1.649,0.03069,44.88,105.73,1.079754,3.3463,0.4186,12.625,0.02736618
W-1136,Barbarous Bandits Wines,White,14.99,6,6.93,0.2575,0.4085,4.365,0.06138,20.4,111.55,1.086294,3.6842,0.455,9.999,0.02816
W-1137,Surogou,White,11.99,5,6.21,0.1751,0.2375,1.552,0.04653,34.68,128.04,1.080626,3.4444,0.4368,11.514,0.049166625
W-1138,Juvenile,White,17.99,6,10.44,0.48925,0.38,1.358,0.09009,6.12,27.16,1.0867736,3.3463,0.5915,10.13366666,0.035076531
W-1139,Selective Sect Vintners,White,14.99,6,6.12,0.2369,0.2755,14.938,0.07227,57.12,167.81,1.088256,3.3354,0.3731,8.787,0.032032988
W-1140,Aboveboard,White,25.99,7,5.04,0.24205,0.2755,1.164,0.04653,33.66,123.19,1.08019,3.6406,0.455,11.11,0.024504344
W-1141,Enormous Book,White,26.99,7,5.4,0.2678,0.304,3.395,0.02772,29.58,109.61,1.080408,3.706,0.6461,12.423,0.024142661
W-1142,Puzzling Mist,White,18.99,6,5.67,0.3708,0.475,8.051,0.05247,52.02,195.94,1.085095,3.488,0.4641,9.696,0.028801542
W-1143,Mainland,White,14.99,5,6.84,0.2678,0.4465,1.552,0.06732,5.1,53.35,1.083896,3.379,0.4095,9.696,0.038431304
W-1144,Magenta Guitar,White,24.99,7,5.22,0.3502,0.152,6.79,0.03663,26.52,112.52,1.084441,3.7714,0.4095,10.1,0.02052913
W-1145,Plakill,White,17.99,6,6.75,0.3914,0.5415,2.231,0.10494,5.1,11.64,1.0856945,3.6624,0.5005,11.514,0.029083218
W-1146,Grateful Ned,White,17.99,6,5.94,0.2472,0.3135,9.797,0.03168,8.16,78.57,1.0859234,3.4771,0.4641,9.898,0.028523938
W-1147,Irate Grandmother Winery,White,18.99,6,5.85,0.3399,0.304,0.97,0.04059,39.78,116.4,1.0791436,3.3354,0.3367,12.322,0.032699168
